iter	Logloss	F1
0	0.6416082885	0.4846612227
1	0.6081331343	0.498013245
2	0.5705197645	0.477152698
3	0.5349131607	0.4803898816
4	0.5092800255	0.4789779326
5	0.4766346149	0.4775633574
6	0.4506531209	0.4760556735
7	0.4328594711	0.4762583096
8	0.4105639339	0.4763938316
9	0.3953571531	0.4771597633
10	0.3810107894	0.4769121478
11	0.3685389838	0.4766199858112	0.3569899629	0.4770033191113	0.345349958	0.4769775671414	0.3313576023	0.4772079771515	0.3225251508	0.4771597631616	0.3144865548	0.47695962
17	0.3007417032	0.4774560987
18	0.2938098272	0.477569428
19	0.2867230684	0.4778173191
20	0.2797983719	0.4806054872
21	0.2736602354	0.4808147797
22	0.2688925155	0.4793349169
23	0.2639420499	0.4804548685
24	0.2597762023	0.4829706717
25	0.2556083265	0.4829706717
26	0.2518005782	0.4811566722
27	0.2440289632	0.4829545455
28	0.2377709762	0.4839167455
29	0.2317308452	0.4848628193330	0.2290928853	0.4842454393131	0.2242482982	0.4858223063232	0.2220943326	0.4855791963333	0.2200801357	0.486767434	034	0.2184859814	0.48592335	035	0.2150086602	0.482562236	036	0.2135332374	0.482562237	037	0.209490616	0.483641538	038	0.2064545556	0.484719239	039	0.2052197421	0.485078140	40	0.2042794883	0.4853219641	41	0.2034294476	0.4847192642	42	0.2026412821	0.4847192643	43	0.2016346089	0.485078164444	0.199024605	0.4863969718445	0.1971739211	0.4874704494646	0.1963008243	0.4890252534747	0.1956590787	0.4880699264848	0.1938773395	0.4905660374949	0.1914357062	0.4909219525050	0.1910429753	0.49044135
51	0.1905585218	0.4899693179
52	0.1900380396	0.4915174364
53	0.189564472	0.4923511414
54	0.1891530187	0.4921195013
55	0.1888122389	0.4924670433
56	0.1878657621	0.4922352941
57	0.1868269112	0.4930604564
58	0.1856284774	0.4937749589559	0.185253084	0.4936530324
60	0.1843474725	0.4945933239661	0.1839762362	0.4943609026262	0.1827896242	0.4944822726363	0.1820561479	0.4948356806464	0.1818944761	0.4949518666565	0.1815867029	0.4947195496666	0.1813619358	0.4949518666767	0.1809605312	0.4948308268	68	0.1806530037	0.495537869	069	0.1800604512	0.496360670	70	0.1793713906	0.4962441371	71	0.1792028915	0.496360647272	0.1786481133	0.4962441317373	0.178042764	0.4965970429774	0.1776428041	0.4969469234775	0.1774240054	0.4970636599776	0.1771368489	0.4967105263777	0.176841488	0.4972947542
78	0.1763301589	0.4976481656779	0.1760718463	0.4972922063880	0.176022211	0.4972922063
81	0.1756457926	0.4972922063
82	0.1754230848	0.4975265018883	0.1753401951	0.4976437323884	0.1752557379	0.4981132075885	0.1750435716	0.4981132075886	0.1748831503	0.4982307148787	0.1746031143	0.4987025248888	0.1744502327	0.4991751118989	0.1743262632	0.4981132079090	0.1741900483	0.4995287491	91	0.1739668499	0.4991751192	92	0.1739422133	0.4995287493	93	0.1736616984	0.4998822194	94	0.1735930207	0.4998822195	95	0.1728873258	0.5007065496	96	0.1727413404	0.503526097	097	0.1726903367	0.503526098	098	0.1725124535	0.50317429999	0.1723666788	0.50317423
100	0.1721264866	0.5014124294
101	0.1720297984	0.50047125351102	0.1717876265	0.502354049
103	0.1716750884	0.502354049
104	0.1715539726	0.502354049
105	0.171446472	0.5024723334
106	0.1713053569	0.5024723334
107	0.1711977379	0.5024723334
108	0.1710384468	0.5023562677
109	0.1709512521	0.502237927
110	0.1708671863	0.502237927
111	0.1708108613	0.502237927
112	0.1705999797	0.5030617051
113	0.170453035	0.5028275212
114	0.170243844	0.5037664783
115	0.1699597348	0.5037664783
116	0.1698735609	0.5037664783
117	0.1696456359	0.5042372881
118	0.169556369	0.5042372881
119	0.1694882815	0.5042372881
120	0.1694066865	0.5045936396
121	0.169237018	0.5045936396
122	0.1690455207	0.504356016
123	0.1690059718	0.5047080979
124	0.1689266574	0.5047080979
125	0.1688306119	0.5050647821
126	0.168393259	0.5062396986
127	0.1682952318	0.506358926
128	0.1682141029	0.5067043049
129	0.1681570084	0.5064721111
130	0.1681051595	0.5067043049
131	0.1680226094	0.5063529412
132	0.167962645	0.5063529412
133	0.1678329263	0.5071747824
134	0.1678133389	0.5076452599
135	0.1677314815	0.5074065366
136	0.1675759988	0.5079962371
137	0.1675277349	0.5079962371
138	0.1674657982	0.5079962371
139	0.1673879742	0.5079962371
140	0.1671972518	0.5079962371
141	0.1671760393	0.5079962371
142	0.1670966645	0.5079962371
143	0.1670251102	0.5079962371
144	0.1669432758	0.5078767929
145	0.1668473341	0.5072941176
146	0.1667443945	0.5079962371
147	0.1667312077	0.5079962371
148	0.1665236691	0.5086976963
149	0.1664499294	0.509167842
150	0.1663463365	0.5093984962
151	0.1662746624	0.5095182139
152	0.1661933223	0.5095182139
153	0.1661844781	0.5098684211
154	0.1661451976	0.5098684211
155	0.1661083793	0.5098684211
156	0.1660774843	0.5097486493
157	0.1660145903	0.5097486493
158	0.1659556292	0.5095182139
159	0.1658888621	0.5092875617
160	0.1658020366	0.5095182139
161	0.1657400639	0.5099882491
162	0.1657150518	0.5103383459
163	0.1655126881	0.5102184637
164	0.165440715	0.511038046
165	0.1653832625	0.511038046
166	0.1653671886	0.511038046
167	0.1650855493	0.5105683419
168	0.1650446078	0.5107981221
169	0.1650049608	0.5107981221
170	0.1649300758	0.5107981221
171	0.1649194495	0.5107981221
172	0.1648679256	0.5105683419
173	0.1647989256	0.5104484621
174	0.1647580158	0.5104484621
175	0.1647077282	0.5100986379
176	0.164691427	0.5104484621
177	0.1646525543	0.5099788683
178	0.164619756	0.5100986379
179	0.1645849602	0.511038046
180	0.1645553062	0.5109180559
181	0.1644901238	0.5113876497
182	0.1644136526	0.5117481203
183	0.1643698594	0.511627907
184	0.1642643768	0.5113876497
185	0.1642204698	0.5118572435
186	0.1641730184	0.5117370892
187	0.1640812253	0.5131332083
188	0.1640705436	0.5131332083
189	0.1640144999	0.5130128957
190	0.1639774035	0.5130128957
191	0.1639248927	0.5130128957
192	0.1638783974	0.5133740028
193	0.1638397932	0.5133740028
194	0.1638214518	0.5134944849
195	0.1637774237	0.5133740028
196	0.1637518706	0.5132535773
197	0.1637165402	0.5133740028
198	0.1636489538	0.5132535773
199	0.1636476612	0.5132535773
745
