iter	Passed	Remaining
0	237	47239
1	444	44049
2	602	39552
3	785	38474
4	966	37699
5	1185	38347
6	1366	37671
7	1554	37299
8	1721	36530
9	1926	36595
10	2108	36230
11	2220	34791
12	2360	33955
13	2584	34339
14	2753	33961
15	2898	33329
16	3044	32774
17	3249	32854
18	3429	32667
19	3621	32596
20	3814	32514
21	3962	32062
22	4085	31437
23	4263	31262
24	4408	30860
25	4614	30882
26	4750	30437
27	4915	30195
28	5026	29640
29	5177	29336
30	5352	29181
31	5524	29002
32	5676	28727
33	5810	28371
34	5972	28154
35	6182	28165
36	6323	27858
37	6505	27735
38	6651	27460
39	6820	27282
40	6970	27033
41	7105	26731
42	7246	26457
43	7385	26185
44	7553	26016
45	7714	25827
46	7894	25699
47	8066	25544
48	8249	25421
49	8433	25299
50	8622	25190
51	8797	25039
52	8973	24887
53	9189	24846
54	9374	24714
55	9571	24612
56	9731	24414
57	9906	24253
58	10059	24040
59	10203	23807
60	10375	23641
61	10543	23467
62	10699	23267
63	10874	23108
64	11043	22937
65	11197	22734
66	11373	22577
67	11536	22395
68	11704	22222
69	11846	22001
70	12013	21828
71	12192	21675
72	12359	21502
73	12554	21376
74	12714	21190
75	12856	20976
76	12988	20748
77	13170	20600
78	13353	20452
79	13543	20315
80	13699	20127
81	13886	19982
82	14069	19832
83	14245	19673
84	14425	19516
85	14575	19321
86	14751	19159
87	14925	18996
88	15102	18836
89	15267	18660
90	15446	18502
91	15630	18349
92	15777	18152
93	15950	17986
94	16142	17842
95	16316	17675
96	16505	17526
97	16660	17340
98	16833	17173
99	17020	17020
100	17191	16850
101	17379	16698
102	17563	16540
103	17759	16393
104	17944	16235
105	18111	16060
106	18278	15886
107	18440	15708
108	18602	15530
109	18776	15362
110	18957	15199
111	19113	15018
112	19277	14841
113	19467	14686
114	19630	14509
115	19819	14351
116	19997	14186
117	20195	14034
118	20371	13866
119	20552	13701
120	20735	13537
121	20907	13366
122	21104	13211
123	21260	13030
124	21444	12866
125	21620	12697
126	21810	12536
127	21999	12374
128	22199	12218
129	22358	12039
130	22534	11869
131	22725	11706
132	22931	11552
133	23138	11396
134	23348	11241
135	23535	11075
136	23723	10909
137	23929	10750
138	24079	10567
139	24303	10415
140	24491	10248
141	24673	10077
142	24855	9907
143	25032	9734
144	25224	9567
145	25400	9394
146	25594	9227
147	25788	9060
148	25957	8884
149	26122	8707
150	26310	8537
151	26479	8361
152	26678	8195
153	26853	8021
154	27004	7839
155	27202	7672
156	27388	7501
157	27572	7329
158	27738	7152
159	27936	6984
160	28116	6810
161	28290	6636
162	28440	6455
163	28682	6296
164	28879	6125
165	29083	5956
166	29271	5784
167	29461	5611
168	29639	5436
169	29812	5261
170	29993	5086
171	30140	4906
172	30308	4730
173	30509	4558
174	30689	4384
175	30868	4209
176	31012	4029
177	31182	3853
178	31359	3679
179	31481	3497
180	31639	3321
181	31804	3145
182	31957	2968
183	32099	2791
184	32248	2614
185	32446	2442
186	32602	2266
187	32796	2093
188	32964	1918
189	33161	1745
190	33340	1571
191	33497	1395
192	33676	1221
193	33847	1046
194	33992	871
195	34146	696
196	34296	522
197	34462	348
198	34659	174
199	34842	0
