iter	F1	Logloss
0	0	0.6444400224
1	0	0.6013836085
2	0	0.5635810466
3	0	0.5305339349
4	0	0.5014143835
5	0	0.4760701563
6	0	0.453684339
7	0	0.4340924369
8	0	0.416778266
9	0	0.4016836331
10	0	0.3884848585
11	0	0.3767531371
12	0	0.3665297707
13	0	0.3573507104
14	0	0.3418957999
15	0	0.3282862162
16	0	0.3161627508
17	0	0.3052719978
18	0	0.2959161841
19	0.02286682194	0.287605015
20	0.1356743815	0.2801200077
21	0.2828319883	0.2735371554
22	0.3382925965	0.2676338772
23	0.3946830266	0.2625050353
24	0.4239492995	0.2578258456
25	0.4464110128	0.2535281902
26	0.4591439689	0.2499565956
27	0.465408805	0.2467562011
28	0.4618122977	0.2425318484
29	0.4662477848	0.2399054569
30	0.4630048465	0.2362681856
31	0.4676744934	0.2340264288
32	0.4668597169	0.2318536984
33	0.4643893007	0.2288520979
34	0.4683788122	0.2271721032
35	0.4654229656	0.2245676277
36	0.4660880746	0.2230292674
37	0.4622823985	0.220754975
38	0.4667523289	0.219319317
39	0.4643604183	0.2173331398
40	0.4684396027	0.2161284015
41	0.4661533526	0.2143262474
42	0.468745004	0.2133608567
43	0.4725011956	0.2124901503
44	0.4698179495	0.2109275576
45	0.4730052556	0.2073062156
46	0.4730977396	0.2065190928
47	0.4704944179	0.205329767
48	0.4746463201	0.2046530794
49	0.4775646107	0.2018641354
50	0.4804681322	0.1992642034
51	0.4804681322	0.1988186673
52	0.480215258	0.1980244173
53	0.4808846761	0.1960094108
54	0.4808846761	0.1956925376
55	0.4806324111	0.1954185342
56	0.4822359072	0.194829867
57	0.4839981082	0.1931204728
58	0.4854491112	0.1915616754
59	0.485763725	0.1913315931
60	0.4860018874	0.1911178676
61	0.48559282	0.1906324194
62	0.4857547615	0.1902610769
63	0.4867159252	0.1890214868
64	0.4873606532	0.187765433
65	0.4873606532	0.1875859356
66	0.4876746742	0.1874267507
67	0.4883173906	0.1865009692
68	0.4885544058	0.1863575352
69	0.4880803011	0.1861059111
70	0.4879962341	0.1857800576
71	0.4878355046	0.1855219656
72	0.4887147335	0.1847431994
73	0.4887147335	0.1845184625
74	0.488951575	0.1843883206
75	0.4890282132	0.1842770836
76	0.4883173906	0.1840387338
77	0.4879962341	0.1838301577
78	0.4882334484	0.183628192
79	0.4890282132	0.182977572
80	0.4887913466	0.1828794133
81	0.4887913466	0.1827800964
82	0.4888679837	0.1823482978
83	0.4882334484	0.1821548135
84	0.4882334484	0.182045964
85	0.4883866918	0.181877585
86	0.4886310177	0.1817791056
87	0.4886310177	0.1816047041
88	0.4898214845	0.1809622448
89	0.4900579302	0.1805109891
90	0.4902943018	0.1803786378
91	0.4901408451	0.1802584028
92	0.4903003755	0.1801968776
93	0.489827856	0.1800432697
94	0.4897383675	0.1798005366
95	0.4900516998	0.1794483484
96	0.4900516998	0.179399367
97	0.489968652	0.1792639333
98	0.4901222954	0.1791598234
99	0.4899749373	0.1789880412
100	0.4896551724	0.1788675389
101	0.4908379013	0.178685351
102	0.4909916967	0.1785786041
103	0.4913928013	0.1781713407
104	0.4917057903	0.1781248004
105	0.4914697136	0.1778850786
106	0.49154665	0.1775806601
107	0.4916236105	0.1773954967
108	0.4914643696	0.1771838559
109	0.4909916967	0.1769691148
110	0.4910686305	0.1769357241
111	0.4913820119	0.1768138141
112	0.4919316936	0.1765747159
113	0.4929489188	0.1764200567
114	0.4923173409	0.1762543148
115	0.49208588	0.1762153827
116	0.4918495298	0.1761090634
117	0.49208588	0.1759933184
118	0.492476489	0.1758879257
119	0.4923993105	0.1757056665
120	0.4927944862	0.1755771105
121	0.4927173062	0.1755145163
122	0.4925583581	0.1753962947
123	0.4932623002	0.1753027686
124	0.4932623002	0.1752409762
125	0.4932623002	0.1752222139
126	0.4930991217	0.1751154136
127	0.4930991217	0.1749928265
128	0.492940069	0.1748812509
129	0.493412798	0.1748614731
130	0.493412798	0.174808358
131	0.4938039216	0.1744729363
132	0.4938813932	0.1744188591
133	0.4934901961	0.1743705548
134	0.4939588891	0.1742812516
135	0.4934901961	0.1741976679
136	0.4932538437	0.174150397
137	0.4937264743	0.1741070639
138	0.4941988084	0.1740615571
139	0.4941213356	0.1739925662
140	0.4942798934	0.1739544716
141	0.494596711	0.1737869479
142	0.4944383519	0.1737396414
143	0.4943609023	0.173674713
144	0.494596711	0.1735889199
145	0.4945192609	0.1735381568
146	0.4942798934	0.1733556838
147	0.4942798934	0.1733111213
148	0.4946708464	0.17307409
149	0.4945123863	0.1730439065
150	0.4941213356	0.1730130638
151	0.4940438871	0.1729896511
152	0.4942024444	0.1729695703
153	0.4942798934	0.1728396067
