iter	Passed	Remaining
0	26	31911
1	51	30850
2	77	30820
3	102	30532
4	127	30419
5	152	30417
6	177	30208
7	202	30228
8	228	30284
9	252	30029
10	278	30146
11	306	30310
12	331	30305
13	357	30265
14	385	30452
15	412	30492
16	438	30534
17	470	30892
18	496	30877
19	523	30894
20	556	31244
21	584	31323
22	611	31274
23	636	31197
24	663	31191
25	688	31097
26	718	31194
27	743	31102
28	768	31040
29	795	31022
30	821	30991
31	848	30970
32	875	30953
33	901	30913
34	928	30909
35	953	30843
36	979	30791
37	1005	30741
38	1032	30722
39	1063	30834
40	1099	31083
41	1135	31310
42	1166	31382
43	1193	31345
44	1219	31295
45	1245	31241
46	1272	31216
47	1299	31184
48	1327	31191
49	1354	31149
50	1380	31098
51	1408	31096
52	1435	31066
53	1464	31084
54	1491	31041
55	1517	31004
56	1543	30948
57	1568	30882
58	1594	30841
59	1621	30801
60	1646	30752
61	1673	30709
62	1702	30721
63	1730	30725
64	1757	30684
65	1783	30644
66	1809	30596
67	1834	30546
68	1862	30527
69	1889	30505
70	1917	30492
71	1944	30462
72	1971	30432
73	1998	30411
74	2023	30351
75	2050	30326
76	2078	30319
77	2107	30320
78	2132	30263
79	2155	30175
80	2182	30145
81	2206	30086
82	2234	30073
83	2263	30066
84	2289	30038
85	2319	30049
86	2346	30019
87	2373	29988
88	2402	29991
89	2428	29951
90	2456	29932
91	2485	29932
92	2514	29927
93	2536	29848
94	2565	29835
95	2593	29827
96	2623	29837
97	2647	29772
98	2675	29752
99	2704	29747
100	2731	29717
101	2759	29709
102	2788	29702
103	2818	29703
104	2846	29680
105	2875	29672
106	2903	29660
107	2932	29648
108	2961	29642
109	2990	29630
110	3018	29614
111	3048	29617
112	3077	29606
113	3106	29588
114	3134	29572
115	3161	29543
116	3188	29516
117	3217	29499
118	3244	29471
119	3271	29443
120	3299	29418
121	3327	29402
122	3353	29367
123	3381	29342
124	3410	29330
125	3440	29322
126	3472	29336
127	3503	29345
128	3535	29350
129	3568	29367
130	3601	29391
131	3631	29378
132	3662	29381
133	3693	29385
134	3725	29391
135	3757	29397
136	3788	29392
137	3822	29416
138	3855	29432
139	3888	29442
140	3923	29464
141	3954	29466
142	3985	29455
143	4017	29463
144	4051	29477
145	4082	29468
146	4112	29455
147	4144	29462
148	4177	29464
149	4209	29464
150	4240	29460
151	4272	29456
152	4306	29468
153	4343	29500
154	4375	29500
155	4409	29506
156	4441	29508
157	4477	29531
158	4511	29536
159	4545	29543
160	4576	29531
161	4606	29513
162	4636	29494
163	4664	29463
164	4692	29432
165	4722	29413
166	4751	29391
167	4781	29372
168	4807	29328
169	4837	29309
170	4869	29303
171	4903	29307
172	4934	29290
173	4961	29256
174	4989	29222
175	5019	29201
176	5047	29173
177	5073	29131
178	5102	29102
179	5131	29077
180	5159	29048
181	5187	29014
182	5214	28981
183	5245	28961
184	5275	28943
185	5306	28928
186	5336	28908
187	5365	28882
188	5394	28855
189	5423	28831
190	5455	28819
191	5484	28795
192	5514	28772
193	5544	28752
194	5571	28716
195	5598	28677
196	5626	28645
197	5655	28618
198	5682	28583
199	5709	28548
200	5738	28522
201	5766	28489
202	5796	28466
203	5825	28444
204	5855	28422
205	5882	28385
206	5914	28370
207	5945	28355
208	5974	28328
209	6000	28287
210	6026	28249
211	6057	28229
212	6082	28186
213	6106	28134
214	6133	28102
215	6161	28067
216	6190	28044
217	6219	28016
218	6249	27995
219	6278	27965
220	6303	27925
221	6331	27892
222	6361	27871
223	6390	27846
224	6421	27826
225	6452	27809
226	6482	27785
227	6510	27753
228	6537	27721
229	6566	27695
230	6591	27650
231	6620	27624
232	6648	27593
233	6678	27571
234	6708	27545
235	6735	27513
236	6765	27489
237	6794	27461
238	6820	27424
239	6853	27413
240	6883	27389
241	6911	27360
242	6938	27325
243	6969	27307
244	6996	27270
245	7022	27234
246	7052	27211
247	7079	27174
248	7107	27144
249	7134	27111
250	7160	27074
251	7189	27047
252	7218	27019
253	7246	26987
254	7272	26951
255	7299	26917
256	7325	26879
257	7352	26845
258	7383	26825
259	7409	26788
260	7435	26751
261	7467	26735
262	7496	26707
263	7523	26675
264	7547	26629
265	7573	26593
266	7603	26568
267	7635	26552
268	7668	26540
269	7696	26511
270	7724	26481
271	7752	26448
272	7780	26419
273	7811	26399
274	7844	26385
275	7879	26378
276	7912	26364
277	7946	26353
278	7977	26335
279	8007	26311
280	8042	26304
281	8076	26290
282	8109	26277
283	8141	26259
284	8173	26241
285	8200	26205
286	8232	26188
287	8262	26165
288	8294	26145
289	8325	26123
290	8357	26104
291	8396	26110
292	8432	26104
293	8470	26102
294	8499	26074
295	8532	26059
296	8564	26040
297	8593	26010
298	8622	25983
299	8652	25956
300	8679	25924
301	8707	25891
302	8735	25860
303	8762	25826
304	8790	25795
305	8819	25766
306	8847	25734
307	8875	25705
308	8905	25679
309	8931	25643
310	8960	25615
311	8984	25570
312	9011	25536
313	9040	25508
314	9067	25476
315	9095	25443
316	9124	25416
317	9151	25383
318	9181	25356
319	9210	25328
320	9235	25288
321	9263	25259
322	9292	25230
323	9320	25199
324	9349	25171
325	9379	25145
326	9408	25119
327	9437	25090
328	9466	25062
329	9493	25027
330	9522	24999
331	9550	24970
332	9577	24936
333	9606	24907
334	9635	24880
335	9666	24857
336	9694	24827
337	9727	24807
338	9757	24782
339	9786	24754
340	9815	24726
341	9841	24689
342	9869	24659
343	9899	24632
344	9926	24600
345	9954	24569
346	9983	24541
347	10012	24512
348	10041	24486
349	10071	24459
350	10101	24432
351	10126	24396
352	10155	24367
353	10182	24335
354	10211	24305
355	10238	24273
356	10266	24242
357	10293	24210
358	10322	24181
359	10353	24157
360	10383	24131
361	10412	24104
362	10441	24076
363	10468	24044
364	10499	24018
365	10530	23994
366	10554	23955
367	10576	23913
368	10605	23884
369	10633	23853
370	10663	23826
371	10692	23800
372	10720	23769
373	10751	23745
374	10782	23720
375	10812	23695
376	10841	23667
377	10869	23637
378	10893	23597
379	10922	23569
380	10949	23537
381	10977	23505
382	11006	23479
383	11036	23452
384	11061	23416
385	11088	23384
386	11117	23356
387	11147	23328
388	11175	23298
389	11204	23270
390	11233	23242
391	11263	23215
392	11291	23185
393	11321	23159
394	11350	23131
395	11382	23110
396	11409	23077
397	11439	23051
